Position,Position,proper motion,proper motion,,,,
Right Ascension,Declination,Right Ascension (mas/yr),Declination (mas/yr),Distance (pc),Gp,Bp,Rp
55.25834,24.92245,18.60213,-40.04798,155.68,16.93,18.612,15.68
55.26293,24.02408,-20.01675,-11.31337,173.29,17.126,18.962,15.846
55.26519,23.42103,45.89205,-98.08186,60.56,10.237,10.761,9.562
55.29635,25.21053,94.21478,-87.93117,80.22,15.957,17.524,14.744
55.30457,22.05934,-23.85459,-54.63846,189.75,10.855,11.487,10.085
55.33692,23.71536,-22.92403,-27.11267,64.16,15.343,17.019,14.106
55.34048,26.72205,26.60586,-27.87328,141.72,15.822,17.446,14.586
55.3458,23.48673,21.62667,-45.32435,133.69,9.069,9.29,8.692
55.35562,22.54873,21.13008,-44.50127,136.95,15.304,16.698,14.143
55.36604,23.70814,20.25984,-45.7166,134.23,10.973,11.369,10.408
55.38424,26.91066,57.09397,33.7323,146.19,10.908,11.272,10.373
55.40531,25.14227,20.63305,-46.28896,132.91,16.754,18.57,15.488
55.41199,22.27773,21.00802,-44.60347,133.29,16.556,18.288,15.294
55.41503,23.76288,22.10363,-46.89624,131.89,13.867,14.802,12.916
55.44627,25.00593,21.94049,-45.30678,133.1,17.051,18.911,15.77
55.44759,26.29375,18.80287,-10.57099,146.42,16.353,17.886,15.144
55.47597,25.72961,21.90106,-46.34522,134.83,15.558,17.011,14.379
55.49154,26.07867,28.10292,-28.82734,197.37,16.509,17.874,15.364
55.49449,22.95034,21.19076,-45.75073,133.59,15.616,17.099,14.425
55.49459,23.70714,19.95358,-45.75293,136.47,13.936,14.911,12.961
55.51203,24.2099,20.32296,-45.86447,135.62,15.268,16.65,14.112
55.51384,24.53688,19.1598,-44.29096,138.51,15.252,16.606,14.102
55.51431,25.37741,20.09191,-43.87992,138.78,16.582,18.441,15.272
55.51974,25.88567,21.05761,-46.89673,134.13,12.406,13.023,11.657
55.51978,22.85836,20.95667,-44.68794,134.2,9.057,9.293,8.662
55.56693,26.83979,8.75644,-90.3602,86.91,11.641,12.277,10.88
55.57465,24.11588,20.98819,-45.1958,136.61,17.022,18.848,15.731
55.62267,22.79038,20.44397,-43.61563,138.68,14.22,15.297,13.19
55.64375,22.26565,-11.18844,-40.62824,158.49,16.472,18.248,15.197
55.65118,23.36784,19.55568,-43.92897,134.12,16.141,17.753,14.909
55.65859,25.32276,-23.35495,-9.06262,140.37,14.621,15.718,13.583
55.66769,23.98916,18.05816,-45.48035,135.98,14.815,16.167,13.67
55.67671,23.33897,20.64576,-46.35374,133.72,16.412,16.981,14.133
55.69916,25.55967,27.96796,-29.41512,132.15,16.685,18.584,15.389
55.71538,23.14533,19.9129,-43.60729,136.63,16.831,18.834,15.499
55.72502,22.82796,90.02669,-41.45868,127.96,12.823,13.611,11.959
55.72508,26.13767,19.95717,-46.84907,130.51,16.807,18.606,15.538
55.73576,24.22917,19.9015,-46.99139,132.7,17.095,18.979,15.8
55.73632,25.98049,21.2295,-45.77057,138.76,16.572,17.751,14.697
55.74907,22.42407,21.40739,-44.39027,134.2,13.361,14.181,12.475
55.7559,23.49166,20.33014,-46.80746,133.32,16.997,18.776,15.729
55.76407,26.42299,-48.38698,-18.88213,146.72,16.054,17.451,14.889
55.7975,22.86879,3.99272,-48.96402,144.82,11.051,11.461,10.472
55.79825,25.42286,9.27126,-58.28601,126.67,15.926,17.611,14.673
55.80454,24.65524,20.55122,-43.95459,138.55,14.89,16.195,13.762
55.81564,25.34142,19.05794,-31.42378,131.76,14.783,15.922,13.722
55.81925,23.83358,20.10977,-45.4169,137.6,16.365,18.067,15.103
55.85492,22.89549,20.22244,-46.15961,132.87,16.934,18.762,15.657
55.86027,22.71167,18.26421,-40.39134,151.26,16.081,17.657,14.872
55.86312,25.38739,20.23912,-44.00363,139.4,11.152,11.598,10.534
55.86761,24.8918,20.93308,-45.63443,135.19,15.966,17.541,14.746
55.87167,22.73439,21.90169,-45.30262,132.33,9.766,9.682,8.904
55.89233,25.59039,20.45436,-46.1369,132.85,15.78,17.347,14.566
55.90259,23.45375,20.10448,-44.02245,138.22,13.831,14.763,12.874
55.90391,24.39378,19.55134,-44.49294,135.21,13.637,14.524,12.698
55.90556,25.40879,21.29849,-47.28289,130.92,15.347,16.774,14.175
55.9073,23.53579,19.52725,-45.29241,132.89,10.576,10.927,10.061
55.93027,24.37439,19.47971,-40.04826,134.9,8.198,8.315,7.966
55.9322,24.48753,19.11284,-46.17804,136.52,15.148,16.501,13.996
55.94165,26.38107,-21.19613,-8.89845,190.5,7.014,7.607,6.279
55.95148,25.00419,19.85967,-45.60274,134.49,11.434,11.902,10.794
55.97455,25.47488,19.0023,-45.79053,137.69,15.02,16.342,13.884
55.98213,24.4262,21.38587,-47.73592,131.56,13.767,14.709,12.8
55.98631,25.26208,19.99247,-45.78366,133.7,14.827,16.075,13.722
55.98635,24.99332,21.26895,-45.12455,133.51,15.051,16.383,13.917
55.98757,23.95145,20.85146,-45.58232,135.1,16.285,17.978,15.022
56.00092,24.20072,-26.51195,-89.26897,96.89,11.169,11.664,10.518
56.00959,25.06476,20.52584,-44.50217,133.83,14.706,15.935,13.609
56.01486,24.50404,22.07259,-45.87187,135.37,10.53,10.896,9.992
56.02026,24.27532,20.13368,-45.35638,137.26,11.209,11.65,10.598
56.02134,25.48363,20.77285,-45.66424,134.61,12.185,12.743,11.477
56.04008,24.58937,20.89389,-44.31426,138.23,15.864,17.403,14.655
56.04139,24.26762,21.47226,-43.34423,136.94,15.175,16.548,14.019
56.0449,25.62715,19.59944,-46.1485,136.62,16.462,18.232,15.191
56.05066,23.87689,19.99343,-45.11111,134.7,16.523,18.25,15.258
56.06866,23.61763,22.54143,-47.59498,134.21,15.795,17.486,14.538
56.07758,21.68774,73.95854,-30.69048,92.77,14.788,16.19,13.579
56.07792,21.68712,74.57551,-28.67472,92.46,15.574,17.137,14.295
56.0795,24.58826,19.37629,-45.97904,137.11,16.397,18.075,15.149
56.0838,24.79596,19.89864,-46.56764,133.17,10.473,10.827,9.956
56.08703,23.56093,19.28602,-46.30353,135.63,15.794,17.31,14.587
56.09654,23.91526,-52.3685,-54.43547,135.38,14.967,16.161,13.887
56.09706,24.13238,20.32585,-47.78693,137.91,14.206,14.278,12.884
56.10349,24.76821,20.00965,-45.86505,135.44,14.464,15.626,13.391
56.11209,24.40865,20.19976,-43.41955,139.34,15.012,16.287,13.892
56.14025,25.65532,24.10509,-25.1819,139.71,15.213,16.492,14.101
56.14763,24.00113,21.42384,-45.87309,136.45,13.68,14.572,12.75
56.15126,23.5029,19.26162,-44.18167,138.96,15.381,16.831,14.212
56.16515,24.52875,19.99497,-46.24617,134.73,15.662,17.201,14.454
56.17999,25.87532,19.76577,-45.89512,132.03,11.438,11.893,10.797
56.18321,25.49909,20.32486,-43.83161,139.15,11.862,12.373,11.193
56.18337,24.231,21.46729,-46.4542,133.96,11.193,11.617,10.61
56.19943,24.21445,19.30378,-44.73235,138.39,16.46,18.217,15.197
56.20099,24.28927,19.84914,-44.9656,135.41,5.441,5.42,5.441
56.20917,24.91091,20.08543,-48.02341,133.81,12.986,13.719,12.156
56.21473,25.08777,19.55084,-45.85814,139.75,16.976,18.871,15.692
56.22182,24.01834,20.61676,-44.13114,132.03,17.134,18.838,15.861
56.23508,24.4324,19.69815,-46.13508,135.19,10.275,10.607,9.775
56.2363,23.60638,21.21935,-46.27852,133.33,16.172,17.804,14.935
56.24422,23.92788,21.06581,-45.62514,137.47,16.096,17.717,14.856
56.24575,23.38873,19.88903,-46.94423,132.5,13.375,14.204,12.481
56.2621,25.08865,20.6871,-45.78757,135.27,16.974,18.848,15.676
56.26375,23.83921,20.34332,-45.77203,134.51,11.684,12.16,11.049
56.27225,25.48623,20.48441,-46.50619,136.85,15.065,16.384,13.932
56.28659,24.84195,20.86139,-45.36497,135.54,15.992,17.341,14.728
56.29068,24.83906,20.21814,-46.12398,138.46,5.64,5.6,5.681
56.29128,21.70438,20.88725,-48.14377,125.81,9.852,10.14,9.392
56.29279,24.39216,7.28383,-9.38275,186.11,17.425,18.901,16.151
56.30004,24.58599,20.80939,-44.70207,132.95,13.4,14.217,12.512
56.30069,23.36457,20.34989,-45.8412,135.12,16.115,17.743,14.878
56.30647,25.08756,20.58554,-46.24529,133.24,12.777,13.446,11.982
56.31407,25.28928,20.04008,-45.96864,134.67,11.01,11.435,10.419
56.31517,22.74322,59.38622,-53.1977,150.39,16.406,17.792,15.244
56.3173,24.12099,19.87055,-44.98036,132.8,15.179,16.506,14.033
56.32088,25.26308,19.92573,-43.96283,136.53,14.92,16.426,13.727
56.33327,24.47333,20.58952,-44.03913,136.28,16.52,18.264,15.224
56.34254,23.47151,20.22389,-44.65018,136.85,12.191,12.772,11.465
56.35063,24.88578,20.5434,-45.56968,135.42,9.57,9.832,9.148
56.36073,22.52541,19.91612,-44.25447,136.42,16.099,17.661,14.874
56.37145,26.12954,-61.41646,-39.65978,139.67,16.695,18.358,15.463
56.37603,24.31244,18.94632,-47.25045,136.26,14.607,15.81,13.522
56.38029,25.77576,30.00473,-56.67088,193.81,15.967,17.238,14.857
56.38734,24.30303,20.25642,-45.16539,132.93,12.989,13.737,12.145
56.39369,24.46311,18.45262,-46.10129,136.02,8.55,8.727,8.229
56.4031,24.65168,21.41772,-46.24268,138.87,15.302,16.966,14.06
56.40823,24.33414,20.36949,-46.55378,136.41,15.446,15.308,13.829
56.41634,22.69427,19.83037,-44.15815,137.14,7.8,7.878,7.627
56.43374,24.07392,19.95484,-43.35274,136.5,13.691,14.591,12.761
56.43516,24.22011,20.57486,-47.20037,132.22,10.393,10.767,9.846
56.45053,23.03456,44.33974,-32.25284,107.54,13.479,14.398,12.527
56.4535,23.14694,20.51391,-45.69976,134.75,6.895,6.893,6.868
56.45402,23.85269,21.18743,-45.39186,134.03,13.567,14.431,12.651
56.45578,23.14287,21.00483,-45.22986,131.22,16.653,18.233,15.376
56.46044,23.87375,19.87529,-44.65218,138.65,13.134,13.933,12.256
56.46272,23.62128,20.37416,-44.81977,138.43,16.997,18.303,15.578
56.46286,24.81336,-16.59192,-32.12089,136.01,16.998,18.531,15.808
